breed,breed_group,height_low,height_high,weight_low,weight_high,life_span_low,life_span_high
Vizsla,Sporting,21.0,24.0,50.0,65.0,10.0,14.0
Weimaraner,Sporting,23.0,27.0,55.0,90.0,12.0,15.0
Welsh Springer Spaniel,Sporting,17.0,19.0,35.0,55.0,12.0,15.0
Welsh Terrier,Terrier,15.0,15.5,20.0,22.0,10.0,14.0
West Highland White Terrier,Terrier,10.0,11.0,15.0,22.0,15.0,20.0
Whippet,Hound,18.0,22.0,25.0,35.0,12.0,15.0
Wirehaired Pointing Griffon,Sporting,20.0,24.0,45.0,70.0,12.0,14.0
Wirehaired Vizsla,Sporting,21.5,25.0,45.0,65.0,12.0,14.0
Xoloitzcuintli,Non-Sporting,,,,,12.0,14.0
Yorkipoo,Mixes and More,,,8.0,15.0,,
Yorkshire Terrier,Toy,8.0,9.0,4.0,7.0,12.0,16.0
